,time,sta,pha,prob,amp
0,2018-11-19T00:00:53.528500Z,8,s,0.64,0.001884
1,2018-11-19T00:01:02.859500Z,3,s,0.484,0.001682
2,2018-11-19T00:02:33.998000Z,18,p,0.907,0.002935
3,2018-11-19T00:02:34.108000Z,18,s,0.797,0.002935
4,2018-11-19T00:02:34.383500Z,23,s,0.525,0.00281
5,2018-11-19T00:03:20.984000Z,5,s,0.797,0.003309
6,2018-11-19T00:03:32.840500Z,18,s,0.361,0.00334
7,2018-11-19T00:03:33.314500Z,5,s,0.64,0.004913
8,2018-11-19T00:03:33.372500Z,20,p,0.326,0.002753
9,2018-11-19T00:03:33.490500Z,20,s,0.697,0.002753
10,2018-11-19T00:03:48.804500Z,11,s,0.753,0.003696
11,2018-11-19T00:04:02.228000Z,3,s,0.326,0.00261
12,2018-11-19T00:05:03.033500Z,19,p,0.314,0.002074
13,2018-11-19T00:05:11.183500Z,5,s,0.366,0.001727
14,2018-11-19T00:05:12.892000Z,22,s,0.71,0.00414
15,2018-11-19T00:05:35.445500Z,8,p,0.402,0.002375
16,2018-11-19T00:05:35.535500Z,8,s,0.561,0.002375
17,2018-11-19T00:07:21.638500Z,20,s,0.603,0.002077
18,2018-11-19T00:08:08.719500Z,1,p,0.708,0.002592
19,2018-11-19T00:08:08.829000Z,1,s,0.882,0.002592
20,2018-11-19T00:08:30.748500Z,8,s,0.435,0.003713
21,2018-11-19T00:08:38.096000Z,20,p,0.776,0.002025
22,2018-11-19T00:08:38.341500Z,20,s,0.34,0.002025
23,2018-11-19T00:08:44.969000Z,18,s,0.688,0.009251
24,2018-11-19T00:09:03.671000Z,20,s,0.832,0.003587
25,2018-11-19T00:10:16.546500Z,18,s,0.605,0.002429
26,2018-11-19T00:10:20.789500Z,24,s,0.638,0.005057
27,2018-11-19T00:10:21.425000Z,5,s,0.802,0.003144
28,2018-11-19T00:11:15.161500Z,5,s,0.382,0.003055
29,2018-11-19T00:11:34.253500Z,11,s,0.893,0.003719
30,2018-11-19T00:11:37.585500Z,18,s,0.567,0.004654
31,2018-11-19T00:11:53.685500Z,13,s,0.509,0.002618
32,2018-11-19T00:12:03.866500Z,18,s,0.485,0.004547
33,2018-11-19T00:13:07.742000Z,7,p,0.409,0.003619
34,2018-11-19T00:13:09.919500Z,22,s,0.71,0.003223
35,2018-11-19T00:13:26.744000Z,20,p,0.351,0.002781
36,2018-11-19T00:13:27.113000Z,20,s,0.819,0.002781
37,2018-11-19T00:14:06.124500Z,23,s,0.481,0.00359
38,2018-11-19T00:14:54.333500Z,19,s,0.588,0.003267
39,2018-11-19T00:15:10.472500Z,22,s,0.806,0.00504
40,2018-11-19T00:15:17.517500Z,5,s,0.312,0.002451
41,2018-11-19T00:15:55.304500Z,5,s,0.493,0.002996
42,2018-11-19T00:16:21.805500Z,24,p,0.403,0.004719
