,time,sta,pha,prob,amp
0,2018-11-12T00:00:28.456500Z,8,s,0.452,0.002604
1,2018-11-12T00:02:27.652500Z,24,s,0.592,0.005408
2,2018-11-12T00:02:32.797500Z,1,s,0.322,0.001993
3,2018-11-12T00:03:13.482000Z,20,p,0.53,0.002241
4,2018-11-12T00:03:34.924000Z,19,s,0.503,0.003427
5,2018-11-12T00:03:59.372000Z,1,s,0.724,0.002305
6,2018-11-12T00:04:05.612500Z,19,p,0.394,0.008522
7,2018-11-12T00:04:05.696000Z,19,s,0.822,0.008522
8,2018-11-12T00:04:42.998500Z,6,s,0.343,0.003063
9,2018-11-12T00:05:25.895500Z,5,p,0.339,0.003247
10,2018-11-12T00:05:26.010000Z,5,s,0.782,0.003247
11,2018-11-12T00:05:38.943500Z,11,p,0.366,0.003411
12,2018-11-12T00:05:39.052500Z,11,s,0.73,0.003411
13,2018-11-12T00:05:50.498500Z,11,p,0.355,0.002738
14,2018-11-12T00:05:50.857000Z,11,s,0.775,0.002738
15,2018-11-12T00:06:10.862500Z,11,p,0.394,0.002175
16,2018-11-12T00:06:11.108000Z,11,s,0.519,0.002175
17,2018-11-12T00:06:42.429000Z,20,s,0.872,0.00237
18,2018-11-12T00:06:42.837500Z,20,s,0.648,0.002853
19,2018-11-12T00:07:13.732000Z,13,p,0.424,0.002828
20,2018-11-12T00:07:13.823000Z,13,s,0.843,0.002828
21,2018-11-12T00:07:30.644000Z,24,p,0.949,0.01751
22,2018-11-12T00:07:30.647500Z,23,p,0.949,0.02248
23,2018-11-12T00:07:30.653000Z,22,p,0.925,0.01513
24,2018-11-12T00:07:30.657500Z,21,p,0.89,0.008164
25,2018-11-12T00:07:30.664000Z,20,p,0.975,0.007993
26,2018-11-12T00:07:30.670000Z,19,p,0.755,0.0058
27,2018-11-12T00:07:30.676000Z,18,p,0.745,0.005421
28,2018-11-12T00:07:30.681000Z,17,p,0.948,0.005994
29,2018-11-12T00:07:30.687000Z,16,p,0.959,0.006314
30,2018-11-12T00:07:30.694000Z,15,p,0.844,0.004798
31,2018-11-12T00:07:30.696000Z,14,p,0.835,0.003973
32,2018-11-12T00:07:30.702500Z,13,p,0.726,0.003686
33,2018-11-12T00:07:30.708500Z,24,s,0.951,0.01751
34,2018-11-12T00:07:30.710000Z,12,p,0.848,0.002997
35,2018-11-12T00:07:30.717000Z,23,s,0.963,0.02248
36,2018-11-12T00:07:30.725500Z,22,s,0.965,0.01513
37,2018-11-12T00:07:30.735000Z,21,s,0.92,0.008164
38,2018-11-12T00:07:30.743500Z,20,s,0.958,0.007993
39,2018-11-12T00:07:30.752500Z,19,s,0.929,0.0058
40,2018-11-12T00:07:30.764000Z,18,s,0.913,0.005421
41,2018-11-12T00:07:30.772000Z,17,s,0.923,0.005994
42,2018-11-12T00:07:30.783500Z,3,p,0.33,0.001649
43,2018-11-12T00:07:30.784500Z,16,s,0.805,0.006314
44,2018-11-12T00:07:30.786500Z,2,p,0.628,0.001636
45,2018-11-12T00:07:30.791500Z,4,p,0.821,0.001784
46,2018-11-12T00:07:30.793000Z,15,s,0.859,0.004798
47,2018-11-12T00:07:30.804000Z,14,s,0.917,0.003973
48,2018-11-12T00:07:30.813000Z,13,s,0.867,0.003686
49,2018-11-12T00:07:30.822500Z,12,s,0.873,0.002997
50,2018-11-12T00:07:30.840500Z,10,s,0.813,0.002698
51,2018-11-12T00:07:30.851500Z,9,s,0.765,0.0017
52,2018-11-12T00:07:30.860500Z,8,s,0.812,0.003091
53,2018-11-12T00:07:30.868000Z,7,s,0.743,0.0016
54,2018-11-12T00:07:30.901500Z,4,s,0.578,0.001768
55,2018-11-12T00:07:30.910000Z,3,s,0.578,0.001557
56,2018-11-12T00:07:30.932000Z,2,s,0.561,0.001575
57,2018-11-12T00:09:06.884000Z,20,s,0.581,0.002229
58,2018-11-12T00:09:17.149500Z,10,s,0.452,0.001771
59,2018-11-12T00:09:23.434000Z,23,s,0.493,0.00188
60,2018-11-12T00:09:51.757500Z,18,p,0.951,0.02456
61,2018-11-12T00:09:51.778500Z,18,s,0.88,0.02456
62,2018-11-12T00:11:19.874000Z,5,p,0.515,0.002864
63,2018-11-12T00:11:19.996000Z,5,s,0.803,0.002864
64,2018-11-12T00:11:22.676500Z,4,p,0.523,0.006795
65,2018-11-12T00:11:22.762000Z,4,s,0.607,0.006795
66,2018-11-12T00:11:37.722000Z,22,p,0.669,0.002842
67,2018-11-12T00:11:37.853500Z,22,s,0.337,0.002842
68,2018-11-12T00:11:48.908000Z,23,s,0.481,0.003003
69,2018-11-12T00:11:58.041500Z,10,p,0.53,0.01388
70,2018-11-12T00:11:58.043500Z,10,s,0.32,0.01388
71,2018-11-12T00:12:02.236500Z,20,p,0.528,0.003084
72,2018-11-12T00:12:02.642500Z,20,s,0.692,0.003084
73,2018-11-12T00:12:37.530500Z,20,s,0.6,0.002113
74,2018-11-12T00:14:00.288500Z,11,s,0.435,0.004454
75,2018-11-12T00:15:29.646500Z,19,s,0.745,0.0046
76,2018-11-12T00:17:00.996000Z,7,s,0.463,0.004157
77,2018-11-12T00:17:04.104500Z,5,s,0.631,0.002896
78,2018-11-12T00:17:11.896000Z,20,p,0.551,0.002049
79,2018-11-12T00:17:12.056500Z,20,s,0.711,0.002049
