,time,sta,pha,prob,amp
0,2018-11-05T00:00:00.170500Z,5,s,0.349,0.001986
1,2018-11-05T00:00:03.470500Z,20,s,0.839,0.00318
2,2018-11-05T00:00:05.791000Z,13,s,0.856,0.004482
3,2018-11-05T00:00:07.455500Z,6,p,0.549,0.001487
4,2018-11-05T00:00:09.854000Z,13,p,0.356,0.002372
5,2018-11-05T00:00:11.541500Z,22,s,0.435,0.002466
6,2018-11-05T00:00:17.379500Z,16,p,0.951,0.004491
7,2018-11-05T00:00:17.380000Z,15,p,0.474,0.002659
8,2018-11-05T00:00:17.400500Z,14,p,0.644,0.002257
9,2018-11-05T00:00:17.410000Z,17,p,0.596,0.003003
10,2018-11-05T00:00:17.421000Z,13,p,0.917,0.00389
11,2018-11-05T00:00:17.469000Z,16,s,0.855,0.00258
12,2018-11-05T00:00:17.479500Z,14,s,0.302,0.002016
13,2018-11-05T00:00:17.490500Z,17,s,0.546,0.003003
14,2018-11-05T00:00:17.504000Z,13,s,0.782,0.00389
15,2018-11-05T00:00:21.692500Z,22,s,0.518,0.002219
16,2018-11-05T00:00:26.559500Z,23,s,0.945,0.03567
17,2018-11-05T00:00:32.912000Z,13,s,0.614,0.003954
18,2018-11-05T00:00:32.932000Z,12,s,0.635,0.002909
19,2018-11-05T00:00:50.180000Z,1,p,0.362,0.003529
20,2018-11-05T00:00:50.185000Z,2,p,0.741,0.002589
21,2018-11-05T00:00:50.330500Z,2,s,0.342,0.001359
22,2018-11-05T00:01:00.394500Z,5,p,0.602,0.001642
23,2018-11-05T00:01:20.649000Z,16,p,0.312,0.009899
24,2018-11-05T00:01:20.651500Z,15,p,0.555,0.00604
25,2018-11-05T00:01:20.665500Z,16,s,0.551,0.009899
26,2018-11-05T00:01:20.666000Z,15,s,0.523,0.00604
27,2018-11-05T00:01:20.683000Z,17,p,0.353,0.004301
28,2018-11-05T00:01:20.691000Z,13,p,0.836,0.006541
29,2018-11-05T00:01:26.761500Z,12,s,0.593,0.003049
30,2018-11-05T00:01:31.972000Z,23,s,0.335,0.002317
31,2018-11-05T00:01:34.920500Z,12,p,0.491,0.002288
32,2018-11-05T00:01:43.592500Z,16,s,0.583,0.002672
33,2018-11-05T00:01:43.624000Z,13,s,0.645,0.00327
34,2018-11-05T00:01:46.055500Z,12,s,0.41,0.002556
35,2018-11-05T00:01:46.969500Z,13,s,0.663,0.002571
36,2018-11-05T00:01:53.853500Z,23,p,0.354,0.002543
37,2018-11-05T00:01:53.964000Z,23,s,0.79,0.002543
38,2018-11-05T00:02:06.959000Z,13,s,0.696,0.004135
39,2018-11-05T00:02:06.980500Z,12,s,0.333,0.003938
40,2018-11-05T00:02:10.910000Z,6,p,0.396,0.001803
41,2018-11-05T00:02:23.028000Z,13,p,0.62,0.004278
42,2018-11-05T00:02:23.111000Z,13,s,0.828,0.004278
43,2018-11-05T00:02:41.910000Z,15,p,0.466,0.006543
44,2018-11-05T00:02:41.934000Z,14,p,0.663,0.005584
45,2018-11-05T00:02:41.940500Z,17,p,0.614,0.006456
46,2018-11-05T00:02:41.952000Z,13,p,0.966,0.01591
47,2018-11-05T00:02:41.960000Z,18,p,0.771,0.003779
48,2018-11-05T00:02:41.971500Z,12,p,0.896,0.01117
49,2018-11-05T00:02:41.984500Z,19,p,0.321,0.001904
50,2018-11-05T00:02:41.994000Z,11,p,0.839,0.007359
51,2018-11-05T00:02:42.035500Z,15,s,0.776,0.006543
52,2018-11-05T00:02:42.038000Z,16,s,0.512,0.01127
53,2018-11-05T00:02:42.054000Z,14,s,0.811,0.005584
54,2018-11-05T00:02:42.055000Z,8,p,0.755,0.00404
55,2018-11-05T00:02:42.065000Z,17,s,0.825,0.006456
56,2018-11-05T00:02:42.076500Z,13,s,0.814,0.01591
57,2018-11-05T00:02:42.084500Z,18,s,0.819,0.003779
58,2018-11-05T00:02:42.088500Z,12,s,0.707,0.01117
59,2018-11-05T00:02:42.118500Z,11,s,0.68,0.007359
60,2018-11-05T00:02:42.179000Z,8,s,0.749,0.00404
61,2018-11-05T00:02:46.784500Z,13,s,0.656,0.002627
62,2018-11-05T00:03:06.874000Z,15,p,0.453,0.003195
63,2018-11-05T00:03:06.874000Z,16,p,0.755,0.004737
64,2018-11-05T00:03:06.896000Z,14,p,0.323,0.002678
65,2018-11-05T00:03:06.900000Z,17,p,0.347,0.002661
66,2018-11-05T00:03:06.911500Z,16,s,0.823,0.004737
67,2018-11-05T00:03:06.916000Z,13,p,0.854,0.004975
68,2018-11-05T00:03:06.921500Z,14,s,0.352,0.002652
69,2018-11-05T00:03:06.931500Z,17,s,0.367,0.002202
70,2018-11-05T00:03:06.936000Z,12,p,0.846,0.00425
71,2018-11-05T00:03:06.942500Z,13,s,0.469,0.004975
72,2018-11-05T00:03:06.956000Z,11,p,0.336,0.003293
73,2018-11-05T00:03:06.963000Z,12,s,0.761,0.00425
74,2018-11-05T00:03:12.213500Z,5,p,0.482,0.001835
75,2018-11-05T00:03:17.450000Z,13,p,0.684,0.003229
76,2018-11-05T00:03:22.308500Z,5,s,0.757,0.002395
77,2018-11-05T00:03:35.688000Z,20,p,0.322,0.002401
78,2018-11-05T00:03:35.839500Z,20,s,0.321,0.002401
79,2018-11-05T00:03:57.434500Z,16,p,0.726,0.007117
80,2018-11-05T00:03:57.436000Z,15,p,0.607,0.00568
81,2018-11-05T00:03:57.443500Z,16,s,0.386,0.006074
82,2018-11-05T00:03:57.453500Z,14,p,0.708,0.005554
83,2018-11-05T00:03:57.464500Z,17,s,0.495,0.00354
