,time,sta,pha,prob,amp
0,2018-11-18T00:00:36.916000Z,3,p,0.457,0.003372
1,2018-11-18T00:00:36.952000Z,3,s,0.304,0.003372
2,2018-11-18T00:00:52.704500Z,20,s,0.383,0.001947
3,2018-11-18T00:01:04.053500Z,22,p,0.379,0.003337
4,2018-11-18T00:01:04.074000Z,24,p,0.399,0.003532
5,2018-11-18T00:01:04.077500Z,23,p,0.714,0.007344
6,2018-11-18T00:01:04.122000Z,24,s,0.404,0.003532
7,2018-11-18T00:01:04.132500Z,23,s,0.9,0.007344
8,2018-11-18T00:01:04.143500Z,22,s,0.844,0.003337
9,2018-11-18T00:01:04.164000Z,20,s,0.797,0.002626
10,2018-11-18T00:01:33.835500Z,20,s,0.594,0.002586
11,2018-11-18T00:01:42.695500Z,24,p,0.563,0.003998
12,2018-11-18T00:01:42.722500Z,23,s,0.479,0.002233
13,2018-11-18T00:01:42.812500Z,24,s,0.786,0.003998
14,2018-11-18T00:02:12.755500Z,5,s,0.784,0.003006
15,2018-11-18T00:03:09.714500Z,20,s,0.483,0.001926
16,2018-11-18T00:03:33.844500Z,20,s,0.67,0.002738
17,2018-11-18T00:04:02.400500Z,11,p,0.35,0.004015
18,2018-11-18T00:04:02.443000Z,11,s,0.756,0.004015
19,2018-11-18T00:04:37.369500Z,20,s,0.739,0.001788
20,2018-11-18T00:05:37.694500Z,6,s,0.374,0.001682
21,2018-11-18T00:05:38.344500Z,4,s,0.481,0.006058
22,2018-11-18T00:07:36.841000Z,5,s,0.844,0.002918
23,2018-11-18T00:07:50.752000Z,20,s,0.575,0.001957
24,2018-11-18T00:07:58.680500Z,19,p,0.536,0.001658
25,2018-11-18T00:08:02.154500Z,20,p,0.844,0.05766
26,2018-11-18T00:08:39.401000Z,20,s,0.827,0.002942
27,2018-11-18T00:09:20.992500Z,22,s,0.64,0.00515
28,2018-11-18T00:09:34.536500Z,17,p,0.602,0.00259
29,2018-11-18T00:09:34.654500Z,17,s,0.528,0.00259
30,2018-11-18T00:11:04.647500Z,22,s,0.345,0.003412
31,2018-11-18T00:11:17.995500Z,20,s,0.5,0.002231
32,2018-11-18T00:11:27.873500Z,17,s,0.32,0.002918
33,2018-11-18T00:11:56.173500Z,11,s,0.678,0.003637
34,2018-11-18T00:12:27.972500Z,23,p,0.427,0.002972
35,2018-11-18T00:12:28.062500Z,23,s,0.779,0.002972
36,2018-11-18T00:13:15.926000Z,3,s,0.376,0.003664
37,2018-11-18T00:13:16.783500Z,20,s,0.774,0.003214
38,2018-11-18T00:13:17.012000Z,20,p,0.395,0.002774
39,2018-11-18T00:13:26.317500Z,5,s,0.533,0.003287
40,2018-11-18T00:13:49.700000Z,5,s,0.765,0.002808
41,2018-11-18T00:14:05.871500Z,20,p,0.567,0.001712
42,2018-11-18T00:14:06.152500Z,20,s,0.652,0.001712
43,2018-11-18T00:14:34.578500Z,5,p,0.379,0.001634
44,2018-11-18T00:14:34.593500Z,6,p,0.426,0.001881
45,2018-11-18T00:14:35.130500Z,6,s,0.507,0.001907
46,2018-11-18T00:14:37.090500Z,6,s,0.382,0.001799
47,2018-11-18T00:14:48.396000Z,13,s,0.576,0.002295
48,2018-11-18T00:15:27.377500Z,23,s,0.638,0.00316
49,2018-11-18T00:15:33.899500Z,24,p,0.984,7.561
50,2018-11-18T00:15:33.905000Z,23,p,0.975,7.365
51,2018-11-18T00:15:33.910000Z,22,p,0.978,2.754
52,2018-11-18T00:15:33.915500Z,21,p,0.98,1.896
53,2018-11-18T00:15:33.921000Z,20,p,0.98,2.261
54,2018-11-18T00:15:33.926000Z,19,p,0.98,2.441
55,2018-11-18T00:15:33.931500Z,18,p,0.984,2.006
56,2018-11-18T00:15:33.937500Z,17,p,0.983,1.923
57,2018-11-18T00:15:33.942000Z,16,p,0.976,1.144
58,2018-11-18T00:15:33.947500Z,15,p,0.977,0.7762
59,2018-11-18T00:15:33.953500Z,14,p,0.978,1.328
60,2018-11-18T00:15:33.955000Z,24,s,0.961,7.561
61,2018-11-18T00:15:33.960000Z,13,p,0.975,1.086
62,2018-11-18T00:15:33.963500Z,23,s,0.963,7.365
63,2018-11-18T00:15:33.965500Z,12,p,0.977,1.095
64,2018-11-18T00:15:33.970000Z,11,p,0.978,0.5006
65,2018-11-18T00:15:33.971500Z,22,s,0.971,2.754
66,2018-11-18T00:15:33.975500Z,10,p,0.981,0.5231
67,2018-11-18T00:15:33.980500Z,9,p,0.973,0.456
68,2018-11-18T00:15:33.980500Z,21,s,0.954,1.896
69,2018-11-18T00:15:33.986000Z,8,p,0.977,0.3726
70,2018-11-18T00:15:33.989500Z,20,s,0.939,2.261
71,2018-11-18T00:15:33.991500Z,7,p,0.979,0.3167
72,2018-11-18T00:15:33.997000Z,6,p,0.981,0.4047
73,2018-11-18T00:15:33.999000Z,19,s,0.962,2.441
74,2018-11-18T00:15:34.002000Z,5,p,0.979,0.2157
75,2018-11-18T00:15:34.008000Z,4,p,0.98,0.2413
76,2018-11-18T00:15:34.008500Z,18,s,0.941,2.006
77,2018-11-18T00:15:34.013500Z,3,p,0.98,0.2314
78,2018-11-18T00:15:34.017000Z,17,s,0.949,1.923
79,2018-11-18T00:15:34.019000Z,2,p,0.979,0.2687
80,2018-11-18T00:15:34.024000Z,1,p,0.977,0.1759
81,2018-11-18T00:15:34.027000Z,16,s,0.957,1.144
82,2018-11-18T00:15:34.037500Z,15,s,0.959,0.7762
83,2018-11-18T00:15:34.049000Z,14,s,0.911,1.328
84,2018-11-18T00:15:34.058500Z,13,s,0.906,1.086
85,2018-11-18T00:15:34.067000Z,12,s,0.934,1.095
86,2018-11-18T00:15:34.077000Z,11,s,0.932,0.5006
87,2018-11-18T00:15:34.084500Z,10,s,0.861,0.5231
88,2018-11-18T00:15:34.099000Z,9,s,0.788,0.456
89,2018-11-18T00:15:34.107000Z,8,s,0.845,0.3726
90,2018-11-18T00:15:34.112000Z,7,s,0.86,0.3167
91,2018-11-18T00:15:34.125000Z,6,s,0.707,0.4047
92,2018-11-18T00:15:34.131000Z,5,s,0.87,0.2157
93,2018-11-18T00:15:34.140500Z,4,s,0.933,0.2413
94,2018-11-18T00:15:34.149000Z,3,s,0.914,0.2314
95,2018-11-18T00:15:34.160000Z,2,s,0.852,0.2687
96,2018-11-18T00:15:34.167000Z,1,s,0.814,0.1759
97,2018-11-18T00:15:35.434500Z,12,p,0.388,0.008112
98,2018-11-18T00:15:35.488000Z,15,p,0.83,0.004982
99,2018-11-18T00:15:35.622000Z,24,p,0.948,0.04924
100,2018-11-18T00:15:35.628000Z,23,p,0.91,0.0501
101,2018-11-18T00:15:35.636500Z,22,p,0.646,0.01981
102,2018-11-18T00:15:35.639000Z,21,p,0.939,0.01387
103,2018-11-18T00:15:35.644000Z,20,p,0.943,0.01505
104,2018-11-18T00:15:35.650000Z,19,p,0.97,0.01537
105,2018-11-18T00:15:35.655500Z,18,p,0.952,0.01306
106,2018-11-18T00:15:35.661500Z,16,p,0.371,0.008056
107,2018-11-18T00:15:35.661500Z,17,p,0.867,0.01286
108,2018-11-18T00:15:35.676500Z,14,p,0.479,0.007654
109,2018-11-18T00:15:35.679000Z,24,s,0.953,0.04924
110,2018-11-18T00:15:35.684500Z,13,p,0.81,0.008427
111,2018-11-18T00:15:35.687500Z,23,s,0.964,0.0501
112,2018-11-18T00:15:35.696000Z,22,s,0.959,0.01981
113,2018-11-18T00:15:35.704000Z,21,s,0.956,0.01387
114,2018-11-18T00:15:35.713000Z,20,s,0.914,0.01505
115,2018-11-18T00:15:35.722000Z,19,s,0.937,0.01537
116,2018-11-18T00:15:35.731500Z,18,s,0.937,0.01306
117,2018-11-18T00:15:35.741000Z,17,s,0.925,0.01286
118,2018-11-18T00:15:35.752000Z,16,s,0.855,0.008056
119,2018-11-18T00:15:35.760500Z,15,s,0.887,0.004982
120,2018-11-18T00:15:35.772500Z,14,s,0.385,0.007654
121,2018-11-18T00:15:35.784500Z,13,s,0.543,0.008427
122,2018-11-18T00:15:35.789500Z,12,s,0.556,0.008112
123,2018-11-18T00:15:35.800000Z,11,s,0.473,0.003669
124,2018-11-18T00:15:35.808500Z,10,s,0.632,0.003757
125,2018-11-18T00:15:51.590500Z,6,p,0.369,0.00199
126,2018-11-18T00:15:59.779500Z,24,p,0.982,0.3709
127,2018-11-18T00:15:59.785000Z,23,p,0.978,0.3787
128,2018-11-18T00:15:59.789500Z,22,p,0.973,0.1438
129,2018-11-18T00:15:59.795500Z,21,p,0.979,0.108
130,2018-11-18T00:15:59.801000Z,20,p,0.979,0.119
131,2018-11-18T00:15:59.806000Z,19,p,0.98,0.1298
132,2018-11-18T00:15:59.811500Z,18,p,0.982,0.1055
133,2018-11-18T00:15:59.817000Z,17,p,0.979,0.1025
134,2018-11-18T00:15:59.823000Z,16,p,0.981,0.06398
135,2018-11-18T00:15:59.827500Z,15,p,0.969,0.04445
136,2018-11-18T00:15:59.834000Z,14,p,0.974,0.07248
137,2018-11-18T00:15:59.835000Z,24,s,0.961,0.3709
138,2018-11-18T00:15:59.840000Z,13,p,0.978,0.06245
139,2018-11-18T00:15:59.843500Z,23,s,0.97,0.3787
140,2018-11-18T00:15:59.845500Z,12,p,0.979,0.05947
141,2018-11-18T00:15:59.850500Z,11,p,0.975,0.02548
142,2018-11-18T00:15:59.851500Z,22,s,0.971,0.1438
143,2018-11-18T00:15:59.855500Z,10,p,0.98,0.02643
144,2018-11-18T00:15:59.860500Z,21,s,0.96,0.108
145,2018-11-18T00:15:59.861500Z,9,p,0.978,0.02181
146,2018-11-18T00:15:59.867000Z,8,p,0.968,0.02138
147,2018-11-18T00:15:59.870000Z,20,s,0.947,0.119
148,2018-11-18T00:15:59.871500Z,7,p,0.97,0.01868
149,2018-11-18T00:15:59.877000Z,6,p,0.967,0.02172
150,2018-11-18T00:15:59.878500Z,19,s,0.963,0.1298
151,2018-11-18T00:15:59.883000Z,5,p,0.966,0.01216
152,2018-11-18T00:15:59.888500Z,18,s,0.959,0.1055
