,time,sta,pha,prob,amp
0,2018-11-01T00:00:04.567000Z,6,p,0.878,0.009999
1,2018-11-01T00:00:04.591500Z,6,s,0.583,0.009999
2,2018-11-01T00:00:29.276000Z,20,p,0.314,0.002279
3,2018-11-01T00:00:29.480500Z,20,s,0.736,0.002279
4,2018-11-01T00:00:36.496500Z,17,s,0.456,0.001739
5,2018-11-01T00:00:39.789500Z,24,s,0.65,0.005071
6,2018-11-01T00:00:41.688000Z,24,p,0.982,0.07885
7,2018-11-01T00:00:41.691500Z,23,p,0.984,0.05451
8,2018-11-01T00:00:41.697000Z,22,p,0.981,0.02962
9,2018-11-01T00:00:41.701500Z,21,p,0.985,0.02514
10,2018-11-01T00:00:41.707500Z,20,p,0.975,0.01791
11,2018-11-01T00:00:41.713500Z,19,p,0.977,0.01812
12,2018-11-01T00:00:41.719500Z,18,p,0.978,0.01132
13,2018-11-01T00:00:41.726000Z,17,p,0.974,0.01167
14,2018-11-01T00:00:41.731000Z,16,p,0.968,0.02465
15,2018-11-01T00:00:41.734000Z,24,s,0.967,0.07885
16,2018-11-01T00:00:41.737500Z,15,p,0.973,0.005783
17,2018-11-01T00:00:41.741500Z,23,s,0.97,0.05451
18,2018-11-01T00:00:41.743000Z,14,p,0.957,0.008547
19,2018-11-01T00:00:41.749500Z,22,s,0.971,0.02962
20,2018-11-01T00:00:41.749500Z,13,p,0.983,0.009244
21,2018-11-01T00:00:41.755500Z,12,p,0.976,0.007327
22,2018-11-01T00:00:41.758000Z,21,s,0.951,0.02514
23,2018-11-01T00:00:41.759500Z,11,p,0.949,0.004241
24,2018-11-01T00:00:41.765000Z,10,p,0.96,0.005359
25,2018-11-01T00:00:41.769500Z,20,s,0.964,0.01791
26,2018-11-01T00:00:41.772000Z,9,p,0.975,0.005103
27,2018-11-01T00:00:41.777000Z,8,p,0.971,0.004538
28,2018-11-01T00:00:41.778500Z,19,s,0.923,0.01812
29,2018-11-01T00:00:41.782500Z,7,p,0.958,0.003301
30,2018-11-01T00:00:41.789500Z,6,p,0.975,0.003533
31,2018-11-01T00:00:41.790000Z,18,s,0.89,0.01132
32,2018-11-01T00:00:41.795000Z,5,p,0.951,0.003537
33,2018-11-01T00:00:41.800500Z,17,s,0.91,0.01167
34,2018-11-01T00:00:41.802000Z,4,p,0.978,0.004704
35,2018-11-01T00:00:41.808000Z,3,p,0.952,0.00347
36,2018-11-01T00:00:41.810500Z,16,s,0.873,0.02465
37,2018-11-01T00:00:41.814000Z,2,p,0.968,0.002842
38,2018-11-01T00:00:41.818000Z,15,s,0.939,0.005783
39,2018-11-01T00:00:41.819000Z,1,p,0.943,0.002513
40,2018-11-01T00:00:41.827500Z,14,s,0.937,0.008547
41,2018-11-01T00:00:41.837000Z,13,s,0.814,0.009244
42,2018-11-01T00:00:41.847500Z,12,s,0.944,0.007327
43,2018-11-01T00:00:41.859000Z,11,s,0.823,0.004241
44,2018-11-01T00:00:41.869000Z,10,s,0.924,0.005359
45,2018-11-01T00:00:41.875000Z,9,s,0.891,0.005103
46,2018-11-01T00:00:41.886500Z,8,s,0.863,0.004538
47,2018-11-01T00:00:41.891000Z,7,s,0.841,0.003301
48,2018-11-01T00:00:41.902000Z,6,s,0.943,0.003533
49,2018-11-01T00:00:41.913000Z,5,s,0.905,0.003537
50,2018-11-01T00:00:41.922500Z,4,s,0.925,0.004704
51,2018-11-01T00:00:41.932500Z,3,s,0.746,0.00347
52,2018-11-01T00:00:41.942500Z,2,s,0.828,0.002842
53,2018-11-01T00:00:41.947500Z,1,s,0.605,0.002489
54,2018-11-01T00:01:17.080500Z,17,s,0.583,0.00296
55,2018-11-01T00:01:27.584500Z,24,p,0.965,0.01016
56,2018-11-01T00:01:27.589000Z,23,p,0.946,0.008624
57,2018-11-01T00:01:27.590500Z,22,p,0.392,0.01025
58,2018-11-01T00:01:27.602000Z,19,p,0.775,0.00227
59,2018-11-01T00:01:27.606000Z,20,p,0.317,0.004783
60,2018-11-01T00:01:27.639500Z,24,s,0.963,0.01016
61,2018-11-01T00:01:27.647000Z,23,s,0.933,0.008624
