,time,sta,pha,prob,amp
0,2018-12-02T00:00:24.075500Z,4,p,0.364,0.002137
1,2018-12-02T00:00:28.477500Z,13,p,0.407,0.002464
2,2018-12-02T00:00:30.946000Z,13,p,0.373,0.002805
3,2018-12-02T00:00:35.474000Z,4,p,0.316,0.00179
4,2018-12-02T00:00:45.074000Z,22,s,0.424,0.004343
5,2018-12-02T00:00:51.381500Z,5,s,0.315,0.003446
6,2018-12-02T00:01:04.277500Z,20,s,0.455,0.001931
7,2018-12-02T00:01:18.921500Z,11,p,0.332,0.002014
8,2018-12-02T00:01:21.842500Z,5,s,0.496,0.003066
9,2018-12-02T00:01:22.659500Z,4,p,0.463,0.002212
10,2018-12-02T00:01:26.941500Z,13,p,0.375,0.003251
11,2018-12-02T00:01:31.287500Z,11,p,0.326,0.001944
12,2018-12-02T00:01:43.482500Z,11,p,0.525,0.001934
13,2018-12-02T00:01:49.074500Z,13,p,0.41,0.003275
14,2018-12-02T00:01:51.170500Z,2,s,0.355,0.002623
15,2018-12-02T00:01:51.258500Z,6,s,0.324,0.004186
16,2018-12-02T00:01:52.735500Z,18,s,0.317,0.002509
17,2018-12-02T00:01:57.325500Z,4,s,0.604,0.006603
18,2018-12-02T00:01:57.329000Z,4,p,0.308,0.006603
19,2018-12-02T00:02:06.733500Z,5,p,0.509,0.002869
20,2018-12-02T00:02:06.898500Z,13,p,0.439,0.002578
21,2018-12-02T00:02:15.322500Z,2,p,0.443,0.0027
22,2018-12-02T00:02:15.346000Z,3,p,0.31,0.001605
23,2018-12-02T00:02:37.474500Z,2,s,0.336,0.002832
24,2018-12-02T00:02:39.278500Z,11,s,0.339,0.00173
25,2018-12-02T00:02:45.959500Z,12,s,0.356,0.002828
26,2018-12-02T00:02:45.974000Z,13,p,0.42,0.002352
27,2018-12-02T00:03:12.570500Z,2,s,0.324,0.002394
28,2018-12-02T00:03:27.564000Z,13,p,0.369,0.00317
29,2018-12-02T00:03:27.643500Z,12,p,0.324,0.002789
30,2018-12-02T00:03:27.986500Z,12,s,0.386,0.002982
31,2018-12-02T00:03:53.136500Z,22,s,0.671,0.005095
32,2018-12-02T00:03:53.454500Z,19,s,0.316,0.002076
33,2018-12-02T00:03:59.646000Z,11,p,0.354,0.001861
34,2018-12-02T00:03:59.675500Z,13,p,0.404,0.002559
35,2018-12-02T00:04:04.405500Z,5,p,0.439,0.003201
36,2018-12-02T00:04:12.782500Z,2,s,0.362,0.002242
37,2018-12-02T00:04:14.370500Z,12,s,0.434,0.002715
38,2018-12-02T00:04:14.511500Z,18,s,0.304,0.002905
39,2018-12-02T00:04:15.992500Z,8,p,0.362,0.002189
40,2018-12-02T00:04:16.091500Z,13,p,0.38,0.004123
41,2018-12-02T00:04:31.030500Z,10,s,0.438,0.002513
42,2018-12-02T00:04:32.528500Z,22,s,0.34,0.002709
43,2018-12-02T00:04:47.551500Z,8,s,0.314,0.002261
44,2018-12-02T00:04:51.916000Z,13,s,0.397,0.001742
45,2018-12-02T00:05:02.149500Z,5,s,0.357,0.003078
46,2018-12-02T00:05:06.279500Z,2,s,0.309,0.002414
47,2018-12-02T00:05:06.511500Z,13,s,0.303,0.002967
48,2018-12-02T00:05:07.591500Z,2,s,0.334,0.002606
49,2018-12-02T00:05:07.675500Z,6,s,0.344,0.003337
50,2018-12-02T00:05:07.785500Z,11,p,0.332,0.001952
51,2018-12-02T00:05:07.818500Z,13,p,0.367,0.003344
52,2018-12-02T00:05:18.382500Z,13,s,0.376,0.002518
53,2018-12-02T00:05:36.729500Z,20,p,0.326,0.002847
54,2018-12-02T00:05:36.924500Z,20,s,0.698,0.002847
55,2018-12-02T00:05:39.831500Z,4,s,0.342,0.001854
56,2018-12-02T00:05:40.023500Z,13,s,0.338,0.003046
57,2018-12-02T00:05:42.410500Z,18,p,0.351,0.00284
58,2018-12-02T00:05:45.970500Z,13,p,0.435,0.002885
59,2018-12-02T00:05:55.378500Z,5,s,0.351,0.002833
60,2018-12-02T00:05:56.157500Z,5,s,0.434,0.003814
61,2018-12-02T00:06:06.026500Z,5,s,0.38,0.003296
62,2018-12-02T00:06:39.446000Z,19,s,0.673,0.00172
63,2018-12-02T00:06:50.518500Z,3,p,0.317,0.001545
64,2018-12-02T00:06:51.693500Z,3,s,0.548,0.003834
65,2018-12-02T00:07:34.591500Z,5,s,0.388,0.002376
66,2018-12-02T00:07:35.350000Z,5,s,0.35,0.002683
67,2018-12-02T00:08:01.350500Z,2,s,0.424,0.002123
68,2018-12-02T00:08:47.162500Z,5,s,0.348,0.00284
69,2018-12-02T00:08:55.436500Z,5,s,0.356,0.002749
70,2018-12-02T00:09:07.779000Z,20,s,0.789,0.003279
71,2018-12-02T00:09:30.528500Z,13,p,0.455,0.002582
72,2018-12-02T00:09:38.096500Z,13,p,0.355,0.002969
73,2018-12-02T00:09:43.522500Z,6,s,0.355,0.003611
74,2018-12-02T00:10:23.581500Z,13,p,0.424,0.002436
75,2018-12-02T00:10:36.300500Z,13,s,0.384,0.002112
76,2018-12-02T00:10:38.661500Z,13,p,0.334,0.00289
77,2018-12-02T00:10:42.100000Z,19,p,0.875,0.002524
78,2018-12-02T00:10:42.232000Z,19,s,0.53,0.001978
79,2018-12-02T00:10:46.879500Z,5,s,0.411,0.002736
80,2018-12-02T00:10:51.029500Z,3,p,0.311,0.001592
81,2018-12-02T00:11:02.863500Z,18,s,0.3,0.003139
82,2018-12-02T00:11:05.866500Z,5,s,0.32,0.00227
83,2018-12-02T00:11:12.535500Z,5,s,0.416,0.003217
84,2018-12-02T00:11:12.808000Z,18,s,0.422,0.003257
85,2018-12-02T00:11:17.448000Z,2,s,0.426,0.001936
86,2018-12-02T00:11:20.055500Z,13,p,0.332,0.002031
87,2018-12-02T00:11:23.417500Z,13,p,0.33,0.002616
88,2018-12-02T00:11:23.500500Z,11,p,0.325,0.001662
89,2018-12-02T00:11:24.738000Z,13,p,0.336,0.002947
90,2018-12-02T00:11:33.614000Z,3,p,0.574,0.001489
91,2018-12-02T00:11:33.804500Z,12,p,0.403,0.00231
92,2018-12-02T00:11:33.806500Z,13,p,0.398,0.002514
93,2018-12-02T00:11:37.578500Z,13,p,0.41,0.002805
94,2018-12-02T00:11:38.844000Z,1,s,0.466,0.003057
95,2018-12-02T00:11:46.918000Z,13,p,0.529,0.002586
96,2018-12-02T00:11:49.220000Z,23,s,0.674,0.002477
97,2018-12-02T00:11:51.755500Z,13,p,0.434,0.002138
98,2018-12-02T00:12:00.574500Z,5,s,0.35,0.003338
99,2018-12-02T00:12:00.727500Z,13,s,0.303,0.002489
100,2018-12-02T00:12:04.629500Z,5,s,0.324,0.002575
101,2018-12-02T00:12:10.367500Z,5,s,0.313,0.002519
102,2018-12-02T00:12:20.290500Z,5,s,0.495,0.003652
103,2018-12-02T00:12:26.210500Z,5,s,0.334,0.003682
104,2018-12-02T00:12:32.371000Z,20,s,0.859,0.002586
105,2018-12-02T00:12:35.922000Z,2,p,0.4,0.002219
106,2018-12-02T00:12:36.117500Z,11,p,0.399,0.00209
107,2018-12-02T00:12:36.154500Z,13,p,0.566,0.003622
108,2018-12-02T00:12:38.778500Z,3,p,0.364,0.001763
109,2018-12-02T00:12:38.984500Z,13,p,0.572,0.002641
110,2018-12-02T00:12:39.729500Z,19,p,0.362,0.002344
111,2018-12-02T00:12:47.397500Z,11,p,0.425,0.002185
112,2018-12-02T00:12:49.114500Z,11,p,0.55,0.001734
113,2018-12-02T00:12:49.137500Z,12,p,0.323,0.002629
114,2018-12-02T00:12:49.160500Z,13,p,0.556,0.002917
115,2018-12-02T00:13:02.566500Z,13,p,0.583,0.003398
116,2018-12-02T00:13:04.781500Z,19,s,0.374,0.001963
117,2018-12-02T00:13:08.850500Z,2,p,0.324,0.002155
118,2018-12-02T00:13:13.627500Z,3,s,0.339,0.001939
119,2018-12-02T00:13:13.642000Z,4,p,0.49,0.002346
120,2018-12-02T00:13:13.799500Z,11,s,0.398,0.002126
121,2018-12-02T00:13:15.334000Z,19,s,0.319,0.001917
122,2018-12-02T00:13:28.995500Z,20,s,0.311,0.001883
123,2018-12-02T00:13:32.407500Z,11,p,0.406,0.001985
124,2018-12-02T00:13:41.638500Z,13,p,0.421,0.001966
125,2018-12-02T00:13:45.058500Z,12,s,0.303,0.002089
126,2018-12-02T00:13:47.934000Z,3,p,0.318,0.001626
127,2018-12-02T00:13:57.930500Z,5,s,0.352,0.002891
128,2018-12-02T00:14:11.626500Z,13,p,0.348,0.00236
129,2018-12-02T00:14:28.286500Z,5,s,0.319,0.00219
130,2018-12-02T00:14:38.057500Z,20,p,0.333,0.009292
131,2018-12-02T00:14:38.121000Z,20,s,0.937,0.009292
132,2018-12-02T00:14:41.216000Z,5,s,0.426,0.002869
133,2018-12-02T00:14:55.010500Z,5,s,0.423,0.002491
134,2018-12-02T00:14:55.026500Z,6,s,0.33,0.003378
135,2018-12-02T00:14:55.165500Z,13,p,0.442,0.00206
136,2018-12-02T00:15:07.514500Z,5,s,0.422,0.002703
137,2018-12-02T00:15:09.817500Z,18,p,0.346,0.002629
138,2018-12-02T00:15:32.118000Z,4,p,0.483,0.001582
139,2018-12-02T00:15:32.292000Z,8,s,0.316,0.002905
140,2018-12-02T00:15:32.306000Z,13,p,0.459,0.002725
141,2018-12-02T00:15:46.042500Z,17,s,0.305,0.001645
142,2018-12-02T00:15:49.652500Z,13,p,0.33,0.00213
143,2018-12-02T00:15:51.724500Z,20,p,0.558,0.003171
144,2018-12-02T00:16:04.647500Z,5,s,0.364,0.00294
145,2018-12-02T00:16:11.848000Z,2,p,0.39,0.002164
146,2018-12-02T00:16:11.915500Z,5,p,0.316,0.002672
147,2018-12-02T00:16:12.078000Z,13,p,0.55,0.002419
148,2018-12-02T00:16:12.198500Z,18,s,0.378,0.002792
149,2018-12-02T00:16:17.654500Z,5,s,0.322,0.002723
150,2018-12-02T00:16:41.055500Z,19,p,0.716,0.002181
151,2018-12-02T00:16:41.176500Z,19,s,0.492,0.002181
152,2018-12-02T00:16:45.257500Z,13,p,0.352,0.002555
153,2018-12-02T00:16:49.967500Z,13,p,0.366,0.002538
154,2018-12-02T00:16:53.873500Z,13,p,0.313,0.002684
155,2018-12-02T00:17:03.207500Z,19,p,0.4,0.002191
156,2018-12-02T00:17:19.504500Z,19,s,0.482,0.002327
157,2018-12-02T00:17:25.555500Z,18,s,0.322,0.002878
158,2018-12-02T00:17:31.498500Z,4,p,0.592,0.002204
159,2018-12-02T00:17:31.693500Z,13,p,0.405,0.003075
160,2018-12-02T00:17:31.990500Z,12,s,0.366,0.002792
161,2018-12-02T00:17:35.972500Z,18,p,0.463,0.002968
162,2018-12-02T00:17:57.419500Z,4,p,0.396,0.001794
163,2018-12-02T00:17:57.608500Z,13,p,0.486,0.003341
164,2018-12-02T00:17:59.288000Z,2,s,0.318,0.002615
