,time,sta,pha,prob,amp
0,2018-11-25T00:03:35.324500Z,20,s,0.367,0.001884
1,2018-11-25T00:04:05.203500Z,16,p,0.318,0.006536
2,2018-11-25T00:04:05.215500Z,15,s,0.446,0.003482
3,2018-11-25T00:04:05.223500Z,16,s,0.571,0.006536
4,2018-11-25T00:04:05.230500Z,22,p,0.425,0.002141
5,2018-11-25T00:04:05.245500Z,17,s,0.562,0.006584
6,2018-11-25T00:04:05.254500Z,24,p,0.437,0.004037
7,2018-11-25T00:04:05.255000Z,13,s,0.903,0.0158
8,2018-11-25T00:04:05.277500Z,12,s,0.927,0.01347
9,2018-11-25T00:04:05.285500Z,19,s,0.351,0.002462
10,2018-11-25T00:04:05.296000Z,8,p,0.464,0.003086
11,2018-11-25T00:04:05.298000Z,11,s,0.882,0.005952
12,2018-11-25T00:04:05.343000Z,22,s,0.633,0.002141
13,2018-11-25T00:04:05.360000Z,8,s,0.793,0.003086
14,2018-11-25T00:04:05.368500Z,23,s,0.486,0.002145
15,2018-11-25T00:04:05.384500Z,24,s,0.748,0.004037
16,2018-11-25T00:05:06.852500Z,5,p,0.457,0.003714
17,2018-11-25T00:05:07.003000Z,5,s,0.731,0.003714
18,2018-11-25T00:05:48.848500Z,3,s,0.443,0.002264
19,2018-11-25T00:05:49.741500Z,20,s,0.423,0.0019
20,2018-11-25T00:06:04.808500Z,1,s,0.607,0.002958
21,2018-11-25T00:07:02.708000Z,16,s,0.633,0.001621
22,2018-11-25T00:07:07.116000Z,19,s,0.3,0.004091
23,2018-11-25T00:07:57.276000Z,24,s,0.623,0.004886
24,2018-11-25T00:08:22.765500Z,20,p,0.305,0.00283
25,2018-11-25T00:08:22.933000Z,20,s,0.842,0.002882
26,2018-11-25T00:08:23.116500Z,20,p,0.308,0.002882
27,2018-11-25T00:09:09.446500Z,22,s,0.72,0.00509
28,2018-11-25T00:10:11.278000Z,20,s,0.462,0.001562
29,2018-11-25T00:10:38.927500Z,23,p,0.437,0.01099
30,2018-11-25T00:10:39.040500Z,23,s,0.795,0.01099
31,2018-11-25T00:11:47.126500Z,5,p,0.532,0.00904
32,2018-11-25T00:11:47.221500Z,5,s,0.889,0.00904
33,2018-11-25T00:11:54.916000Z,1,s,0.495,0.001697
34,2018-11-25T00:12:04.165500Z,5,s,0.831,0.002525
35,2018-11-25T00:12:46.882500Z,23,s,0.48,0.002171
36,2018-11-25T00:13:26.622500Z,20,p,0.456,0.002803
37,2018-11-25T00:13:27.046500Z,20,s,0.751,0.002803
38,2018-11-25T00:14:50.782000Z,20,p,0.437,0.004648
39,2018-11-25T00:16:33.543500Z,22,s,0.494,0.002515
40,2018-11-25T00:19:06.856000Z,22,s,0.512,0.0053
41,2018-11-25T00:19:45.077500Z,24,s,0.372,0.003414
42,2018-11-25T00:19:51.273500Z,8,s,0.878,0.003926
43,2018-11-25T00:20:08.306500Z,20,p,0.626,0.003045
44,2018-11-25T00:20:08.448000Z,20,s,0.85,0.003045
45,2018-11-25T00:20:41.576000Z,5,s,0.526,0.003169
46,2018-11-25T00:23:14.958500Z,20,p,0.301,0.001942
47,2018-11-25T00:23:15.178000Z,20,s,0.487,0.001942
48,2018-11-25T00:24:21.792500Z,20,s,0.432,0.001822
49,2018-11-25T00:25:16.538000Z,20,s,0.885,0.003346
50,2018-11-25T00:26:04.749500Z,23,s,0.347,0.002281
51,2018-11-25T00:26:15.384500Z,23,s,0.419,0.002709
52,2018-11-25T00:26:45.861500Z,1,s,0.418,0.002309
53,2018-11-25T00:26:52.781500Z,5,s,0.789,0.003815
54,2018-11-25T00:27:13.180500Z,8,p,0.348,0.00273
55,2018-11-25T00:27:13.277500Z,8,s,0.606,0.00273
56,2018-11-25T00:27:24.975500Z,8,s,0.634,0.002312
57,2018-11-25T00:27:27.868500Z,5,p,0.385,0.001579
58,2018-11-25T00:27:27.930000Z,5,p,0.495,0.007241
59,2018-11-25T00:27:27.961500Z,5,s,0.917,0.007241
60,2018-11-25T00:27:31.449500Z,18,s,0.383,0.002732
61,2018-11-25T00:27:38.421500Z,23,s,0.484,0.002249
62,2018-11-25T00:28:06.565500Z,20,s,0.421,0.001625
63,2018-11-25T00:29:46.837500Z,22,p,0.492,0.004857
64,2018-11-25T00:29:46.952500Z,22,s,0.827,0.004857
65,2018-11-25T00:30:04.901500Z,23,p,0.415,0.003778
66,2018-11-25T00:30:05.001500Z,23,s,0.716,0.003778
67,2018-11-25T00:31:37.119500Z,20,s,0.358,0.001955
68,2018-11-25T00:31:55.181500Z,23,p,0.656,0.003102
69,2018-11-25T00:31:55.315000Z,23,s,0.657,0.003102
70,2018-11-25T00:32:09.500000Z,20,p,0.363,0.003762
71,2018-11-25T00:32:09.616000Z,20,s,0.883,0.003762
72,2018-11-25T00:32:15.007500Z,24,p,0.85,0.005617
73,2018-11-25T00:32:15.125500Z,24,s,0.889,0.005617
74,2018-11-25T00:32:37.472500Z,20,s,0.619,0.001762
75,2018-11-25T00:33:07.806000Z,5,s,0.484,0.002851
76,2018-11-25T00:33:34.430500Z,2,s,0.588,0.003456
77,2018-11-25T00:36:28.556000Z,20,s,0.748,0.001802
78,2018-11-25T00:37:21.048500Z,20,s,0.744,0.003101
79,2018-11-25T00:38:14.331500Z,5,s,0.787,0.00324
80,2018-11-25T00:38:29.973500Z,20,p,0.362,0.001777
81,2018-11-25T00:38:30.216500Z,20,s,0.498,0.001777
82,2018-11-25T00:39:03.311500Z,5,p,0.306,0.005404
83,2018-11-25T00:39:03.376000Z,5,s,0.842,0.005404
84,2018-11-25T00:39:13.828500Z,22,p,0.381,0.005039
85,2018-11-25T00:39:13.940500Z,22,s,0.668,0.005039
86,2018-11-25T00:39:48.156500Z,20,p,0.479,0.001671
87,2018-11-25T00:39:48.368500Z,20,s,0.688,0.001608
88,2018-11-25T00:40:14.533500Z,23,s,0.31,0.001622
89,2018-11-25T00:40:53.089000Z,4,s,0.333,0.005654
90,2018-11-25T00:40:53.089500Z,4,p,0.347,0.005654
91,2018-11-25T00:41:37.335000Z,5,p,0.563,0.003613
92,2018-11-25T00:41:37.456500Z,5,s,0.816,0.003613
93,2018-11-25T00:43:22.730500Z,20,s,0.718,0.003162
94,2018-11-25T00:44:12.185500Z,3,p,0.733,0.002629
95,2018-11-25T00:44:12.316500Z,3,s,0.567,0.001912
96,2018-11-25T00:45:16.502500Z,20,p,0.524,0.001726
97,2018-11-25T00:45:16.773500Z,20,s,0.805,0.001726
98,2018-11-25T00:46:10.289500Z,22,s,0.479,0.002683
99,2018-11-25T00:47:15.369500Z,24,p,0.964,0.006193
100,2018-11-25T00:47:15.375500Z,23,p,0.971,0.01107
101,2018-11-25T00:47:15.381500Z,22,p,0.776,0.005286
102,2018-11-25T00:47:15.385000Z,21,p,0.42,0.006487
103,2018-11-25T00:47:15.392000Z,20,p,0.938,0.004877
104,2018-11-25T00:47:15.396000Z,19,p,0.823,0.004293
105,2018-11-25T00:47:15.407500Z,17,p,0.519,0.002989
106,2018-11-25T00:47:15.412500Z,16,s,0.461,0.002564
107,2018-11-25T00:47:15.429500Z,24,s,0.941,0.005808
108,2018-11-25T00:47:15.439000Z,23,s,0.958,0.007489
109,2018-11-25T00:47:15.447500Z,22,s,0.765,0.003152
110,2018-11-25T00:47:15.463000Z,20,s,0.664,0.00213
111,2018-11-25T00:47:15.474000Z,19,s,0.746,0.001705
112,2018-11-25T00:47:15.482000Z,17,s,0.565,0.001602
113,2018-11-25T00:47:42.281500Z,1,s,0.664,0.003301
114,2018-11-25T00:48:31.701500Z,8,s,0.689,0.002597
115,2018-11-25T00:48:37.166500Z,20,s,0.807,0.003056
116,2018-11-25T00:49:54.817000Z,5,s,0.897,0.005533
117,2018-11-25T00:50:07.382000Z,24,p,0.982,0.4156
118,2018-11-25T00:50:07.386000Z,23,p,0.981,0.2182
119,2018-11-25T00:50:07.389500Z,22,p,0.968,0.1239
120,2018-11-25T00:50:07.393500Z,21,p,0.983,0.2317
121,2018-11-25T00:50:07.397000Z,20,p,0.976,0.1402
122,2018-11-25T00:50:07.399500Z,19,p,0.973,0.1753
123,2018-11-25T00:50:07.404000Z,18,p,0.976,0.2304
124,2018-11-25T00:50:07.407500Z,17,p,0.972,0.1133
125,2018-11-25T00:50:07.412000Z,16,p,0.956,0.1949
126,2018-11-25T00:50:07.416000Z,15,p,0.975,0.1051
127,2018-11-25T00:50:07.420000Z,14,p,0.979,0.1107
128,2018-11-25T00:50:07.424000Z,13,p,0.971,0.1303
129,2018-11-25T00:50:07.429000Z,12,p,0.97,0.1374
130,2018-11-25T00:50:07.431500Z,11,p,0.977,0.09406
131,2018-11-25T00:50:07.435500Z,10,p,0.969,0.0609
132,2018-11-25T00:50:07.439500Z,9,p,0.975,0.04168
133,2018-11-25T00:50:07.444000Z,8,p,0.942,0.06155
134,2018-11-25T00:50:07.448500Z,7,p,0.95,0.07666
135,2018-11-25T00:50:07.453500Z,6,p,0.953,0.07073
136,2018-11-25T00:50:07.457500Z,5,p,0.977,0.05168
137,2018-11-25T00:50:07.461500Z,4,p,0.963,0.06815
138,2018-11-25T00:50:07.466000Z,3,p,0.963,0.05531
139,2018-11-25T00:50:07.469500Z,2,p,0.95,0.05003
