,time,sta,pha,prob,amp
0,2018-12-09T00:00:48.613500Z,20,s,0.412,0.001954
1,2018-12-09T00:01:05.656500Z,19,s,0.464,0.003245
2,2018-12-09T00:01:08.785500Z,5,p,0.361,0.001873
3,2018-12-09T00:01:17.185000Z,19,s,0.799,0.003682
4,2018-12-09T00:01:40.859500Z,20,p,0.848,0.002761
5,2018-12-09T00:01:41.027000Z,20,s,0.78,0.002761
6,2018-12-09T00:02:06.392500Z,1,p,0.754,0.007168
7,2018-12-09T00:02:06.644000Z,20,s,0.616,0.002007
8,2018-12-09T00:02:11.228500Z,1,p,0.341,0.005977
9,2018-12-09T00:02:11.316500Z,1,s,0.772,0.00564
10,2018-12-09T00:02:17.398500Z,15,p,0.532,0.002748
11,2018-12-09T00:02:17.453000Z,24,p,0.966,0.05693
12,2018-12-09T00:02:17.458000Z,23,p,0.967,0.03343
13,2018-12-09T00:02:17.464000Z,22,p,0.94,0.02687
14,2018-12-09T00:02:17.469500Z,21,p,0.89,0.01545
15,2018-12-09T00:02:17.475000Z,20,p,0.803,0.007253
16,2018-12-09T00:02:17.479500Z,19,p,0.656,0.005023
17,2018-12-09T00:02:17.495500Z,18,p,0.7,0.004867
18,2018-12-09T00:02:17.502500Z,16,p,0.328,0.005212
19,2018-12-09T00:02:17.507000Z,24,s,0.965,0.05693
20,2018-12-09T00:02:17.516000Z,23,s,0.959,0.03343
21,2018-12-09T00:02:17.518500Z,13,p,0.693,0.004157
22,2018-12-09T00:02:17.520000Z,11,p,0.422,0.002064
23,2018-12-09T00:02:17.524000Z,8,p,0.903,0.002132
24,2018-12-09T00:02:17.524500Z,22,s,0.939,0.02687
25,2018-12-09T00:02:17.527500Z,12,p,0.341,0.002414
26,2018-12-09T00:02:17.532000Z,10,p,0.309,0.001824
27,2018-12-09T00:02:17.534000Z,21,s,0.964,0.01545
28,2018-12-09T00:02:17.545000Z,20,s,0.916,0.007253
29,2018-12-09T00:02:17.553000Z,19,s,0.918,0.005023
30,2018-12-09T00:02:17.565500Z,18,s,0.897,0.004867
31,2018-12-09T00:02:17.569500Z,6,p,0.444,0.00189
32,2018-12-09T00:02:17.570000Z,5,p,0.826,0.002122
33,2018-12-09T00:02:17.574500Z,17,s,0.925,0.004087
34,2018-12-09T00:02:17.581500Z,3,p,0.451,0.001992
35,2018-12-09T00:02:17.583500Z,4,p,0.417,0.002694
36,2018-12-09T00:02:17.587000Z,16,s,0.843,0.005212
37,2018-12-09T00:02:17.592500Z,15,s,0.692,0.002748
38,2018-12-09T00:02:17.597500Z,13,s,0.469,0.004157
39,2018-12-09T00:02:17.600500Z,14,s,0.681,0.003069
40,2018-12-09T00:02:17.623000Z,12,s,0.616,0.002414
41,2018-12-09T00:02:17.635000Z,11,s,0.833,0.002064
42,2018-12-09T00:02:17.648000Z,10,s,0.823,0.001824
43,2018-12-09T00:02:17.656000Z,9,s,0.873,0.002645
44,2018-12-09T00:02:17.664500Z,8,s,0.849,0.002132
45,2018-12-09T00:02:17.673000Z,7,s,0.76,0.003011
46,2018-12-09T00:02:17.682000Z,6,s,0.785,0.00189
47,2018-12-09T00:02:17.694500Z,5,s,0.743,0.002122
48,2018-12-09T00:02:17.702500Z,4,s,0.936,0.002694
49,2018-12-09T00:02:17.713000Z,3,s,0.873,0.001992
