,time,sta,pha,prob,amp
0,2018-11-06T00:00:14.393000Z,13,p,0.464,0.005752
1,2018-11-06T00:00:14.447500Z,13,s,0.514,0.005752
2,2018-11-06T00:00:53.759500Z,18,p,0.307,0.002632
3,2018-11-06T00:00:55.732000Z,1,p,0.82,0.002517
4,2018-11-06T00:01:03.823500Z,2,s,0.333,0.001944
5,2018-11-06T00:01:04.050500Z,13,p,0.367,0.002776
6,2018-11-06T00:01:13.172000Z,24,p,0.82,0.02763
7,2018-11-06T00:01:13.174500Z,23,p,0.938,0.01969
8,2018-11-06T00:01:13.180000Z,22,p,0.921,0.01256
9,2018-11-06T00:01:13.183500Z,21,p,0.854,0.01094
10,2018-11-06T00:01:13.186500Z,20,p,0.763,0.005691
11,2018-11-06T00:01:13.193500Z,19,p,0.866,0.004627
12,2018-11-06T00:01:13.206000Z,17,p,0.683,0.003081
13,2018-11-06T00:01:13.211000Z,16,p,0.928,0.003
14,2018-11-06T00:01:13.214500Z,15,p,0.642,0.002912
15,2018-11-06T00:01:13.219500Z,14,p,0.857,0.004952
16,2018-11-06T00:01:13.223000Z,24,s,0.953,0.02763
17,2018-11-06T00:01:13.229000Z,13,p,0.932,0.003183
18,2018-11-06T00:01:13.229500Z,23,s,0.945,0.01969
19,2018-11-06T00:01:13.233500Z,12,p,0.846,0.002962
20,2018-11-06T00:01:13.237500Z,22,s,0.958,0.01256
21,2018-11-06T00:01:13.245500Z,21,s,0.959,0.01094
22,2018-11-06T00:01:13.254000Z,20,s,0.944,0.005691
23,2018-11-06T00:01:13.261500Z,19,s,0.884,0.004627
24,2018-11-06T00:01:13.272500Z,18,s,0.674,0.005036
25,2018-11-06T00:01:13.279500Z,17,s,0.914,0.003081
26,2018-11-06T00:01:13.291000Z,16,s,0.852,0.003
27,2018-11-06T00:01:13.300000Z,15,s,0.816,0.002912
28,2018-11-06T00:01:13.309500Z,14,s,0.771,0.004952
29,2018-11-06T00:01:13.322500Z,13,s,0.902,0.003183
30,2018-11-06T00:01:13.330000Z,12,s,0.868,0.002962
31,2018-11-06T00:01:13.926000Z,13,p,0.367,0.002268
32,2018-11-06T00:01:23.158500Z,3,s,0.364,0.002644
33,2018-11-06T00:01:28.376500Z,23,s,0.532,0.003661
34,2018-11-06T00:01:29.619500Z,20,s,0.809,0.002891
35,2018-11-06T00:01:40.799500Z,2,s,0.324,0.002047
36,2018-11-06T00:01:54.477500Z,19,s,0.494,0.002918
37,2018-11-06T00:02:38.364000Z,20,s,0.569,0.001555
38,2018-11-06T00:03:40.293500Z,17,s,0.602,0.002842
39,2018-11-06T00:03:42.986500Z,18,s,0.424,0.002709
40,2018-11-06T00:04:09.906500Z,13,p,0.345,0.002895
41,2018-11-06T00:04:21.528500Z,20,p,0.537,0.001949
42,2018-11-06T00:04:21.694500Z,20,s,0.779,0.001949
43,2018-11-06T00:04:40.692000Z,23,s,0.722,0.003073
44,2018-11-06T00:04:45.595500Z,5,p,0.425,0.002808
45,2018-11-06T00:04:45.770500Z,13,p,0.315,0.002496
46,2018-11-06T00:04:49.844000Z,22,s,0.798,0.003254
47,2018-11-06T00:06:08.932500Z,20,p,0.53,0.001986
48,2018-11-06T00:06:09.098500Z,20,s,0.498,0.001986
49,2018-11-06T00:06:28.502500Z,3,p,0.333,0.001625
50,2018-11-06T00:06:39.194500Z,18,s,0.436,0.003655
51,2018-11-06T00:06:41.382000Z,13,p,0.434,0.002805
52,2018-11-06T00:06:49.103500Z,8,s,0.359,0.002159
53,2018-11-06T00:06:49.212000Z,13,p,0.552,0.003642
54,2018-11-06T00:06:50.494500Z,11,s,0.78,0.004061
55,2018-11-06T00:07:05.982500Z,13,p,0.497,0.002508
56,2018-11-06T00:07:10.586500Z,2,s,0.336,0.001824
57,2018-11-06T00:07:15.971500Z,2,p,0.322,0.001947
58,2018-11-06T00:07:22.950500Z,5,s,0.434,0.003884
59,2018-11-06T00:07:25.012000Z,23,s,0.572,0.002457
60,2018-11-06T00:07:27.066000Z,24,p,0.967,0.005689
61,2018-11-06T00:07:27.071000Z,23,p,0.984,0.007344
62,2018-11-06T00:07:27.075000Z,22,p,0.902,0.004936
63,2018-11-06T00:07:27.082000Z,21,p,0.908,0.004157
64,2018-11-06T00:07:27.086000Z,20,p,0.916,0.004325
65,2018-11-06T00:07:27.092000Z,19,p,0.447,0.002216
66,2018-11-06T00:07:27.106500Z,24,s,0.95,0.005689
67,2018-11-06T00:07:27.113500Z,23,s,0.958,0.007329
68,2018-11-06T00:07:27.120500Z,22,s,0.925,0.004936
69,2018-11-06T00:07:27.129500Z,21,s,0.631,0.003973
70,2018-11-06T00:07:27.137500Z,20,s,0.842,0.002547
71,2018-11-06T00:07:27.147500Z,19,s,0.657,0.002216
72,2018-11-06T00:07:34.300500Z,18,p,0.341,0.003301
