,time,sta,pha,prob,amp
0,2018-12-15T01:59:11.491500Z,5,s,0.349,8.203e-12
1,2018-12-15T01:59:11.491500Z,17,s,0.37,5.299e-12
2,2018-12-15T01:59:11.497500Z,12,s,0.323,1.046e-11
3,2018-12-15T01:59:37.997500Z,22,s,0.35,1.997e-07
4,2018-12-15T01:59:37.997500Z,18,s,0.53,2.153e-07
5,2018-12-15T01:59:37.997500Z,21,s,0.347,1.675e-07
6,2018-12-15T01:59:37.997500Z,10,s,0.354,1.736e-07
7,2018-12-15T01:59:37.997500Z,9,s,0.347,1.418e-07
8,2018-12-15T01:59:37.997500Z,5,s,0.358,7.85e-08
9,2018-12-15T01:59:37.997500Z,16,s,0.535,2.784e-07
10,2018-12-15T02:00:08.766000Z,20,s,0.78,0.002605
11,2018-12-15T02:00:53.700000Z,23,s,0.843,0.003266
12,2018-12-15T02:00:53.707500Z,22,s,0.721,0.002762
13,2018-12-15T02:01:07.387000Z,1,s,0.811,0.00326
14,2018-12-15T02:01:10.214500Z,23,p,0.35,0.007366
15,2018-12-15T02:01:10.236000Z,24,s,0.819,0.00346
16,2018-12-15T02:01:10.243000Z,23,s,0.947,0.007366
17,2018-12-15T02:01:10.249000Z,22,s,0.916,0.007454
18,2018-12-15T02:01:10.259000Z,21,p,0.524,0.004418
19,2018-12-15T02:01:36.209500Z,6,p,0.42,0.001994
20,2018-12-15T02:01:37.889500Z,24,p,0.981,0.07315
21,2018-12-15T02:01:37.893000Z,23,p,0.98,0.161
22,2018-12-15T02:01:37.898500Z,22,p,0.968,0.02558
23,2018-12-15T02:01:37.903000Z,21,p,0.875,0.009986
24,2018-12-15T02:01:37.909000Z,20,p,0.972,0.008396
25,2018-12-15T02:01:37.915500Z,24,s,0.967,0.07315
26,2018-12-15T02:01:37.916000Z,19,p,0.883,0.00769
27,2018-12-15T02:01:37.921500Z,23,s,0.968,0.161
28,2018-12-15T02:01:37.928000Z,22,s,0.961,0.02558
29,2018-12-15T02:01:37.930000Z,17,p,0.657,0.004644
30,2018-12-15T02:01:37.937000Z,21,s,0.961,0.009986
31,2018-12-15T02:01:37.942000Z,16,p,0.703,0.002248
32,2018-12-15T02:01:37.943500Z,8,p,0.486,0.001836
33,2018-12-15T02:01:37.945500Z,20,s,0.965,0.008396
34,2018-12-15T02:01:37.955500Z,19,s,0.958,0.00769
