,time,sta,pha,prob,amp
0,2018-12-07T00:00:24.727500Z,22,s,0.514,0.002163
1,2018-12-07T00:00:40.972000Z,13,s,0.794,0.004327
2,2018-12-07T00:00:49.601500Z,4,s,0.767,0.005925
3,2018-12-07T00:01:19.533500Z,20,s,0.371,0.001335
4,2018-12-07T00:01:38.720000Z,22,s,0.637,0.005381
5,2018-12-07T00:02:08.559500Z,20,s,0.7,0.002769
6,2018-12-07T00:03:18.186500Z,5,s,0.437,0.003279
7,2018-12-07T00:03:58.290500Z,23,s,0.451,0.002542
8,2018-12-07T00:03:58.435500Z,20,s,0.455,0.001563
9,2018-12-07T00:05:33.378500Z,20,s,0.615,0.003387
10,2018-12-07T00:05:34.962500Z,20,s,0.486,0.001698
11,2018-12-07T00:05:49.559500Z,19,s,0.629,0.002135
12,2018-12-07T00:06:05.145500Z,19,p,0.332,0.002867
13,2018-12-07T00:06:05.354000Z,19,s,0.652,0.002867
14,2018-12-07T00:06:06.580500Z,22,p,0.312,0.002207
15,2018-12-07T00:06:31.945500Z,19,p,0.339,0.002985
16,2018-12-07T00:06:32.060000Z,19,s,0.674,0.002985
17,2018-12-07T00:07:48.381500Z,8,s,0.369,0.002154
18,2018-12-07T00:07:51.361500Z,23,s,0.593,0.002535
19,2018-12-07T00:08:08.149500Z,19,s,0.651,0.002098
20,2018-12-07T00:08:14.789500Z,19,p,0.314,0.002607
21,2018-12-07T00:08:14.905500Z,19,s,0.477,0.002607
22,2018-12-07T00:08:31.126000Z,5,s,0.583,0.002682
23,2018-12-07T00:09:47.718500Z,20,p,0.306,0.00182
24,2018-12-07T00:09:47.858500Z,20,s,0.536,0.00182
25,2018-12-07T00:10:20.734500Z,20,s,0.822,0.003028
26,2018-12-07T00:10:49.700000Z,22,p,0.336,0.005189
27,2018-12-07T00:10:49.843500Z,22,s,0.807,0.005189
28,2018-12-07T00:11:03.141500Z,23,s,0.476,0.004232
29,2018-12-07T00:11:36.152500Z,19,s,0.662,0.002547
30,2018-12-07T00:11:56.882500Z,12,s,0.43,0.002749
31,2018-12-07T00:12:06.135500Z,19,s,0.387,0.002681
32,2018-12-07T00:13:01.053500Z,19,s,0.74,0.00258
33,2018-12-07T00:13:27.648500Z,15,p,0.408,0.001973
34,2018-12-07T00:13:27.653500Z,16,p,0.584,0.001701
35,2018-12-07T00:13:27.692000Z,23,s,0.43,0.001805
36,2018-12-07T00:13:37.573500Z,20,s,0.665,0.002875
37,2018-12-07T00:14:16.124500Z,19,s,0.575,0.003332
38,2018-12-07T00:14:44.038500Z,20,p,0.304,0.001992
39,2018-12-07T00:14:44.160000Z,20,s,0.645,0.001992
40,2018-12-07T00:15:26.856500Z,20,p,0.337,0.001736
41,2018-12-07T00:15:39.476000Z,19,s,0.765,0.002564
42,2018-12-07T00:15:44.136500Z,19,s,0.473,0.004212
43,2018-12-07T00:15:53.597500Z,19,s,0.364,0.002334
44,2018-12-07T00:16:13.404000Z,19,s,0.513,0.003477
45,2018-12-07T00:16:17.568500Z,2,p,0.376,0.0038
46,2018-12-07T00:16:17.693500Z,2,s,0.764,0.0038
47,2018-12-07T00:16:25.605500Z,23,s,0.308,0.00193
48,2018-12-07T00:17:19.523500Z,19,s,0.67,0.002193
49,2018-12-07T00:17:21.968000Z,20,p,0.33,0.002769
50,2018-12-07T00:17:22.070500Z,20,s,0.77,0.002769
51,2018-12-07T00:17:58.919500Z,20,s,0.348,0.001671
52,2018-12-07T00:18:07.341500Z,19,s,0.593,0.003082
53,2018-12-07T00:18:24.090500Z,3,s,0.319,0.001584
54,2018-12-07T00:19:12.714500Z,5,s,0.399,0.001625
55,2018-12-07T00:19:31.873000Z,5,s,0.741,0.002693
56,2018-12-07T00:19:58.605500Z,19,p,0.454,0.003024
57,2018-12-07T00:19:58.717500Z,19,s,0.645,0.003024
58,2018-12-07T00:20:00.730500Z,20,s,0.656,0.003318
59,2018-12-07T00:21:05.835500Z,22,s,0.607,0.001749
60,2018-12-07T00:21:29.915000Z,19,s,0.724,0.00267
61,2018-12-07T00:21:34.594000Z,10,s,0.613,0.005657
62,2018-12-07T00:23:13.532000Z,23,s,0.422,0.002763
63,2018-12-07T00:23:18.458500Z,20,s,0.831,0.002686
64,2018-12-07T00:23:21.244500Z,19,p,0.498,0.002615
65,2018-12-07T00:23:21.373500Z,19,s,0.546,0.002615
66,2018-12-07T00:23:42.616500Z,19,s,0.397,0.003232
67,2018-12-07T00:24:03.847500Z,20,s,0.316,0.001511
68,2018-12-07T00:25:11.756000Z,8,s,0.424,0.002827
69,2018-12-07T00:25:19.757500Z,22,p,0.451,0.002007
70,2018-12-07T00:25:19.864500Z,22,s,0.454,0.002007
71,2018-12-07T00:25:27.353500Z,2,p,0.413,0.00331
72,2018-12-07T00:25:27.464500Z,2,s,0.64,0.00331
73,2018-12-07T00:25:39.185500Z,16,p,0.31,0.001513
74,2018-12-07T00:25:48.634500Z,5,s,0.744,0.002363
75,2018-12-07T00:27:04.443500Z,20,p,0.451,0.002381
76,2018-12-07T00:27:04.644000Z,20,s,0.813,0.002381
77,2018-12-07T00:27:04.940000Z,20,p,0.503,0.002853
78,2018-12-07T00:27:12.803500Z,1,p,0.361,0.002386
79,2018-12-07T00:27:12.896000Z,1,s,0.575,0.002386
80,2018-12-07T00:27:41.640500Z,13,s,0.356,0.00528
81,2018-12-07T00:27:54.984500Z,19,p,0.482,0.002828
82,2018-12-07T00:27:55.164000Z,19,s,0.721,0.002828
83,2018-12-07T00:28:15.225500Z,19,s,0.513,0.002972
84,2018-12-07T00:29:06.033500Z,1,s,0.451,0.00153
85,2018-12-07T00:29:28.374500Z,20,p,0.471,0.001615
86,2018-12-07T00:29:31.512500Z,19,s,0.682,0.002936
87,2018-12-07T00:29:44.240000Z,23,s,0.582,0.002572
88,2018-12-07T00:29:47.244000Z,20,p,0.481,0.002677
89,2018-12-07T00:29:47.428500Z,20,s,0.768,0.002677
90,2018-12-07T00:30:58.944500Z,19,p,0.36,0.002088
91,2018-12-07T00:30:59.032000Z,19,s,0.717,0.002088
92,2018-12-07T00:31:34.669500Z,19,s,0.348,0.002988
93,2018-12-07T00:32:34.669500Z,5,s,0.635,0.002472
94,2018-12-07T00:32:44.200500Z,19,s,0.512,0.002491
95,2018-12-07T00:32:46.172500Z,20,p,0.321,0.002089
96,2018-12-07T00:32:46.304500Z,20,s,0.516,0.002089
97,2018-12-07T00:32:58.634000Z,11,s,0.732,0.003906
98,2018-12-07T00:33:11.464500Z,20,s,0.707,0.002686
99,2018-12-07T00:34:34.790000Z,8,s,0.488,0.00286
100,2018-12-07T00:34:59.032500Z,19,s,0.363,0.002914
101,2018-12-07T00:35:43.674000Z,18,p,0.868,0.006485
102,2018-12-07T00:35:55.829500Z,19,s,0.576,0.002879
103,2018-12-07T00:36:12.020500Z,19,s,0.683,0.002422
104,2018-12-07T00:36:46.342000Z,20,s,0.818,0.002718
105,2018-12-07T00:36:54.303500Z,19,p,0.31,0.003087
106,2018-12-07T00:37:21.398500Z,1,s,0.402,0.001862
107,2018-12-07T00:37:39.018500Z,2,p,0.362,0.003292
108,2018-12-07T00:37:39.140000Z,2,s,0.765,0.003292
109,2018-12-07T00:38:50.701500Z,19,p,0.349,0.002322
110,2018-12-07T00:38:50.845500Z,19,s,0.761,0.002322
111,2018-12-07T00:39:15.688500Z,19,s,0.36,0.002444
112,2018-12-07T00:39:29.117500Z,19,s,0.597,0.00273
113,2018-12-07T00:39:38.791500Z,20,p,0.415,0.002022
114,2018-12-07T00:39:38.895000Z,20,s,0.685,0.002022
115,2018-12-07T00:39:57.511500Z,19,s,0.443,0.002621
116,2018-12-07T00:40:17.191500Z,24,s,0.462,0.00358
117,2018-12-07T00:40:20.268000Z,20,s,0.772,0.003491
118,2018-12-07T00:40:27.929500Z,5,p,0.46,0.002403
119,2018-12-07T00:40:28.101500Z,5,s,0.701,0.002403
120,2018-12-07T00:40:45.521500Z,19,s,0.361,0.002891
121,2018-12-07T00:41:53.012000Z,20,p,0.695,0.001832
122,2018-12-07T00:41:53.149500Z,20,s,0.559,0.001832
123,2018-12-07T00:42:07.316500Z,3,s,0.77,0.004365
124,2018-12-07T00:42:13.324500Z,19,p,0.327,0.002641
125,2018-12-07T00:42:13.437500Z,19,s,0.666,0.002641
126,2018-12-07T00:42:24.220000Z,19,s,0.731,0.003144
127,2018-12-07T00:42:46.042500Z,10,s,0.45,0.00382
128,2018-12-07T00:43:00.933500Z,20,s,0.663,0.00242
129,2018-12-07T00:43:51.622000Z,19,s,0.499,0.003405
130,2018-12-07T00:44:42.680500Z,19,s,0.412,0.003219
131,2018-12-07T00:45:07.504500Z,19,s,0.301,0.00268
132,2018-12-07T00:45:20.201500Z,1,s,0.508,0.002418
133,2018-12-07T00:46:05.177500Z,23,s,0.337,0.002452
134,2018-12-07T00:46:18.744500Z,19,s,0.483,0.002432
135,2018-12-07T00:46:24.081500Z,20,p,0.417,0.002888
136,2018-12-07T00:46:24.173000Z,20,s,0.868,0.002888
137,2018-12-07T00:46:44.385500Z,5,p,0.33,0.002634
138,2018-12-07T00:46:44.455000Z,5,s,0.868,0.002634
139,2018-12-07T00:46:44.724500Z,20,s,0.752,0.002174
140,2018-12-07T00:47:35.916000Z,4,p,0.344,0.006373
141,2018-12-07T00:47:35.916500Z,4,s,0.52,0.006373
142,2018-12-07T00:48:14.436500Z,19,p,0.385,0.002666
143,2018-12-07T00:48:14.535500Z,19,s,0.385,0.002666
144,2018-12-07T00:48:19.220000Z,11,s,0.785,0.00394
145,2018-12-07T00:48:47.204500Z,19,p,0.502,0.003697
146,2018-12-07T00:48:47.314000Z,19,s,0.446,0.003697
147,2018-12-07T00:48:50.702500Z,20,s,0.563,0.001865
148,2018-12-07T00:49:45.949500Z,19,s,0.307,0.002609
149,2018-12-07T00:49:50.790000Z,22,s,0.301,0.002915
150,2018-12-07T00:50:01.550500Z,20,s,0.419,0.001699
151,2018-12-07T00:50:01.947000Z,20,s,0.767,0.002813
152,2018-12-07T00:50:03.624500Z,10,s,0.463,0.001814
153,2018-12-07T00:50:38.064500Z,22,s,0.6,0.004945
154,2018-12-07T00:51:01.578500Z,19,s,0.494,0.002599
155,2018-12-07T00:51:07.404000Z,20,s,0.632,0.002075
156,2018-12-07T00:52:39.360500Z,20,s,0.601,0.001919
157,2018-12-07T00:53:12.957500Z,5,s,0.306,0.002401
158,2018-12-07T00:53:55.541000Z,22,p,0.46,0.03437
159,2018-12-07T00:53:55.562500Z,23,s,0.545,0.03131
160,2018-12-07T00:53:55.564000Z,23,p,0.36,0.03131
161,2018-12-07T00:53:55.564500Z,22,s,0.798,0.03437
162,2018-12-07T00:55:04.952500Z,23,s,0.627,0.003219
163,2018-12-07T00:55:08.254000Z,11,s,0.83,0.003886
164,2018-12-07T00:55:10.947500Z,19,s,0.569,0.003208
165,2018-12-07T00:55:20.779000Z,20,s,0.851,0.002323
166,2018-12-07T00:55:47.528500Z,20,p,0.484,0.002014
167,2018-12-07T00:55:47.658500Z,20,s,0.393,0.002014
168,2018-12-07T00:57:05.657000Z,2,s,0.75,0.001893
169,2018-12-07T00:58:19.420000Z,20,s,0.51,0.002042
170,2018-12-07T00:58:20.101500Z,19,s,0.718,0.002559
171,2018-12-07T00:58:45.988000Z,20,s,0.808,0.002591
172,2018-12-07T00:58:47.364000Z,19,s,0.362,0.002576
173,2018-12-07T00:59:01.301500Z,22,s,0.336,0.004914
174,2018-12-07T00:59:28.116000Z,19,s,0.493,0.002794
175,2018-12-07T01:00:04.155500Z,19,p,0.337,0.003175
176,2018-12-07T01:00:04.277000Z,19,s,0.673,0.003175
177,2018-12-07T01:01:02.965000Z,2,s,0.684,0.001874
178,2018-12-07T01:01:07.595500Z,5,s,0.631,0.002417
179,2018-12-07T01:02:20.479500Z,20,p,0.404,0.002984
180,2018-12-07T01:02:43.686000Z,11,s,0.531,0.003135
181,2018-12-07T01:05:02.717000Z,20,s,0.812,0.002595
182,2018-12-07T01:06:12.176500Z,19,s,0.418,0.002434
183,2018-12-07T01:07:23.094500Z,19,s,0.447,0.002541
184,2018-12-07T01:07:40.206000Z,20,p,0.574,0.00208
185,2018-12-07T01:07:40.437500Z,20,s,0.413,0.00208
186,2018-12-07T01:08:29.120000Z,20,p,0.475,0.002645
187,2018-12-07T01:08:29.348000Z,20,s,0.725,0.002645
188,2018-12-07T01:08:52.152000Z,5,s,0.908,0.004634
189,2018-12-07T01:08:53.056500Z,19,s,0.325,0.001962
190,2018-12-07T01:09:30.099000Z,5,s,0.674,0.001969
191,2018-12-07T01:09:41.577500Z,18,s,0.418,0.002872
192,2018-12-07T01:10:08.557500Z,19,s,0.538,0.002355
193,2018-12-07T01:10:11.313500Z,22,p,0.653,0.004948
194,2018-12-07T01:10:11.422500Z,22,s,0.424,0.004948
195,2018-12-07T01:10:19.476500Z,22,p,0.431,0.002206
196,2018-12-07T01:10:19.632500Z,23,s,0.508,0.002438
197,2018-12-07T01:10:19.637500Z,22,s,0.368,0.002206
198,2018-12-07T01:10:46.357500Z,11,s,0.612,0.003469
199,2018-12-07T01:10:50.677500Z,19,s,0.432,0.00249
200,2018-12-07T01:11:18.325500Z,20,p,0.345,0.001621
201,2018-12-07T01:11:18.634500Z,20,s,0.519,0.001621
202,2018-12-07T01:11:58.236500Z,20,p,0.566,0.003091
203,2018-12-07T01:11:58.434500Z,20,s,0.656,0.003091
204,2018-12-07T01:12:01.724000Z,22,s,0.524,0.003126
205,2018-12-07T01:12:30.941500Z,19,s,0.392,0.003076
206,2018-12-07T01:13:48.060000Z,19,s,0.479,0.002861
207,2018-12-07T01:14:08.752500Z,19,s,0.385,0.00327
208,2018-12-07T01:15:24.496500Z,23,s,0.599,0.003866
209,2018-12-07T01:17:00.828000Z,23,s,0.77,0.003437
210,2018-12-07T01:17:13.566000Z,20,s,0.591,0.01175
211,2018-12-07T01:17:13.569500Z,20,p,0.426,0.01175
212,2018-12-07T01:17:33.828000Z,1,s,0.717,0.002016
