,time,sta,pha,prob,amp
0,2018-11-24T00:00:25.643500Z,17,s,0.503,0.001777
1,2018-11-24T00:00:38.725500Z,22,s,0.514,0.005217
2,2018-11-24T00:01:13.191500Z,10,p,0.413,0.008162
3,2018-11-24T00:01:13.249500Z,10,s,0.938,0.008162
4,2018-11-24T00:01:24.735500Z,24,p,0.331,0.005321
5,2018-11-24T00:01:24.865000Z,24,s,0.822,0.005321
6,2018-11-24T00:01:52.879500Z,4,p,0.872,0.002695
7,2018-11-24T00:02:04.273500Z,20,s,0.381,0.002263
8,2018-11-24T00:02:06.113500Z,20,s,0.745,0.002489
9,2018-11-24T00:02:06.474500Z,5,s,0.515,0.002299
10,2018-11-24T00:02:06.494000Z,6,s,0.439,0.002081
11,2018-11-24T00:02:06.632500Z,13,p,0.341,0.001901
12,2018-11-24T00:02:11.928000Z,23,p,0.322,0.002042
13,2018-11-24T00:02:12.056500Z,23,s,0.752,0.002042
14,2018-11-24T00:02:18.224500Z,6,s,0.473,0.001785
15,2018-11-24T00:02:22.822500Z,2,s,0.334,0.004655
16,2018-11-24T00:02:22.999500Z,10,s,0.391,0.001892
17,2018-11-24T00:02:23.250500Z,22,s,0.332,0.002505
18,2018-11-24T00:02:26.956500Z,6,s,0.353,0.002678
19,2018-11-24T00:02:29.333500Z,5,p,0.44,0.005937
20,2018-11-24T00:02:29.354500Z,6,p,0.372,0.005908
21,2018-11-24T00:02:34.319500Z,5,s,0.306,0.001573
22,2018-11-24T00:02:34.941500Z,20,p,0.508,0.002032
23,2018-11-24T00:02:35.285500Z,20,s,0.482,0.002032
24,2018-11-24T00:02:59.082000Z,5,s,0.761,0.00293
25,2018-11-24T00:03:38.642500Z,5,p,0.353,0.001981
26,2018-11-24T00:03:52.263500Z,2,s,0.319,0.001683
27,2018-11-24T00:03:53.810500Z,6,p,0.483,0.001696
28,2018-11-24T00:03:58.669500Z,20,s,0.358,0.001916
29,2018-11-24T00:04:55.295500Z,2,s,0.407,0.002096
30,2018-11-24T00:04:55.358000Z,6,p,0.5,0.00391
31,2018-11-24T00:04:55.360500Z,5,p,0.358,0.003773
32,2018-11-24T00:04:55.428500Z,8,s,0.397,0.001744
33,2018-11-24T00:04:55.482500Z,11,p,0.396,0.002172
34,2018-11-24T00:04:55.503500Z,12,s,0.403,0.002589
35,2018-11-24T00:04:55.522000Z,13,p,0.572,0.002925
36,2018-11-24T00:04:55.671500Z,19,s,0.349,0.001858
37,2018-11-24T00:05:48.465000Z,20,s,0.786,0.002168
38,2018-11-24T00:06:07.068500Z,6,s,0.487,0.001773
39,2018-11-24T00:06:08.593500Z,13,p,0.369,0.001673
40,2018-11-24T00:07:07.743500Z,22,p,0.704,0.003662
41,2018-11-24T00:07:07.776000Z,19,p,0.335,0.002121
42,2018-11-24T00:07:07.783000Z,24,p,0.889,0.007839
43,2018-11-24T00:07:07.790500Z,23,p,0.499,0.007582
44,2018-11-24T00:07:07.839000Z,24,s,0.936,0.007839
45,2018-11-24T00:07:07.848500Z,23,s,0.943,0.007582
46,2018-11-24T00:07:07.856500Z,22,s,0.913,0.003662
47,2018-11-24T00:07:07.864500Z,21,s,0.49,0.002577
