,time,sta,pha,prob,amp
0,2018-12-01T00:00:36.314500Z,20,s,0.498,0.008327
1,2018-12-01T00:02:06.889500Z,23,s,0.408,0.002913
2,2018-12-01T00:02:40.119500Z,5,s,0.562,0.002851
3,2018-12-01T00:02:45.682500Z,20,s,0.367,0.001487
4,2018-12-01T00:02:46.667500Z,20,p,0.514,0.00276
5,2018-12-01T00:02:46.806000Z,20,s,0.856,0.00276
6,2018-12-01T00:03:29.005500Z,22,s,0.502,0.003389
7,2018-12-01T00:04:38.500500Z,17,p,0.484,0.002922
8,2018-12-01T00:04:38.600500Z,17,s,0.783,0.002922
9,2018-12-01T00:05:06.714500Z,19,p,0.664,0.002109
10,2018-12-01T00:05:06.840000Z,19,s,0.701,0.002109
11,2018-12-01T00:05:29.857500Z,4,s,0.577,0.006333
12,2018-12-01T00:05:39.949500Z,23,s,0.318,0.001904
13,2018-12-01T00:06:22.340500Z,20,p,0.584,0.002511
14,2018-12-01T00:06:22.495000Z,20,s,0.743,0.002511
15,2018-12-01T00:06:28.589500Z,24,s,0.541,0.002881
16,2018-12-01T00:08:38.725500Z,20,s,0.3,0.001994
17,2018-12-01T00:09:00.764500Z,19,s,0.424,0.003643
18,2018-12-01T00:10:32.511500Z,20,s,0.577,0.00331
19,2018-12-01T00:11:38.887500Z,20,s,0.827,0.01328
20,2018-12-01T00:12:40.273500Z,5,s,0.408,0.00206
21,2018-12-01T00:13:00.791500Z,20,p,0.355,0.002727
22,2018-12-01T00:13:00.899000Z,20,s,0.812,0.002727
23,2018-12-01T00:16:08.741500Z,23,p,0.827,0.00419
24,2018-12-01T00:16:08.756500Z,22,p,0.323,0.002935
25,2018-12-01T00:16:08.821000Z,24,s,0.795,0.003725
26,2018-12-01T00:16:08.829500Z,23,s,0.89,0.00419
27,2018-12-01T00:16:43.793500Z,19,s,0.462,0.002017
28,2018-12-01T00:17:18.020500Z,20,s,0.723,0.002395
29,2018-12-01T00:17:23.773500Z,20,s,0.379,0.001925
30,2018-12-01T00:17:28.394000Z,22,s,0.585,0.004993
31,2018-12-01T00:17:59.295500Z,23,s,0.397,0.003561
32,2018-12-01T00:18:14.509500Z,5,p,0.402,0.002843
33,2018-12-01T00:18:14.618000Z,5,s,0.76,0.002843
34,2018-12-01T00:21:03.647000Z,20,s,0.746,0.002463
35,2018-12-01T00:21:03.836000Z,20,p,0.382,0.002546
36,2018-12-01T00:21:04.002000Z,20,s,0.791,0.002546
37,2018-12-01T00:21:15.349500Z,20,p,0.388,0.00216
38,2018-12-01T00:21:15.464500Z,20,s,0.667,0.00216
39,2018-12-01T00:23:13.330500Z,23,s,0.781,0.01541
40,2018-12-01T00:23:23.350000Z,5,s,0.549,0.00249
41,2018-12-01T00:23:43.085500Z,17,p,0.663,0.002142
42,2018-12-01T00:23:43.655500Z,2,s,0.717,0.002866
43,2018-12-01T00:23:59.756000Z,20,s,0.81,0.002753
44,2018-12-01T00:25:33.137500Z,5,s,0.312,0.002401
45,2018-12-01T00:27:25.436000Z,20,p,0.574,0.002291
46,2018-12-01T00:27:25.540000Z,20,s,0.827,0.002291
47,2018-12-01T00:27:32.159500Z,22,p,0.467,0.004938
48,2018-12-01T00:27:32.261500Z,22,s,0.721,0.004938
49,2018-12-01T00:28:44.732000Z,5,s,0.339,0.002261
50,2018-12-01T00:29:01.580500Z,19,p,0.492,0.002166
51,2018-12-01T00:29:01.706500Z,19,s,0.621,0.002166
52,2018-12-01T00:30:31.613500Z,1,s,0.356,0.003115
53,2018-12-01T00:30:50.832000Z,20,s,0.853,0.002889
54,2018-12-01T00:31:38.356000Z,8,s,0.379,0.003102
55,2018-12-01T00:31:52.442500Z,19,s,0.581,0.001735
56,2018-12-01T00:32:10.573500Z,19,s,0.695,0.003693
57,2018-12-01T00:33:12.936000Z,24,s,0.89,0.01314
58,2018-12-01T00:33:12.940000Z,23,p,0.971,0.02151
59,2018-12-01T00:33:12.945000Z,22,p,0.724,0.01025
60,2018-12-01T00:33:12.952500Z,21,p,0.956,0.00713
61,2018-12-01T00:33:12.957500Z,20,p,0.931,0.00322
62,2018-12-01T00:33:12.963500Z,19,p,0.842,0.002615
63,2018-12-01T00:33:12.981500Z,16,p,0.929,0.002382
64,2018-12-01T00:33:12.986000Z,15,p,0.592,0.002068
65,2018-12-01T00:33:12.988500Z,23,s,0.95,0.008359
66,2018-12-01T00:33:12.997500Z,22,s,0.487,0.004886
67,2018-12-01T00:33:12.999000Z,13,p,0.832,0.001868
68,2018-12-01T00:33:13.008500Z,21,s,0.833,0.00354
69,2018-12-01T00:33:13.016500Z,20,s,0.67,0.002439
70,2018-12-01T00:33:13.024000Z,19,s,0.605,0.002287
71,2018-12-01T00:33:13.056000Z,16,s,0.846,0.002348
72,2018-12-01T00:33:13.064000Z,15,s,0.479,0.001609
73,2018-12-01T00:33:13.089500Z,13,s,0.649,0.001868
74,2018-12-01T00:33:13.106000Z,11,s,0.703,0.001717
75,2018-12-01T00:33:13.117500Z,10,s,0.313,0.00153
76,2018-12-01T00:33:49.695500Z,5,p,0.815,0.003035
